31	130
31	131
32	129
32	130
32	131
32	132
32	133
33	129
33	130
33	131
33	132
33	133
33	134
33	135
33	136
34	130
34	131
34	132
34	133
34	134
34	135
34	136
34	137
34	138
34	139
34	140
35	132
35	133
35	134
35	135
35	136
35	137
35	138
35	139
35	140
36	136
36	137
36	138
36	139
36	140
37	136
37	137
37	138
37	139
37	140
37	141
38	139
38	140
38	141
39	139
39	140
39	141
39	142
40	139
40	140
40	141
41	140
41	141
41	142
41	143
42	139
42	140
42	141
42	142
42	143
42	144
43	140
43	141
43	142
43	143
43	144
43	145
44	141
44	142
44	143
44	144
44	145
45	141
45	142
